134.5,17704,1619965,33536,15832,11927,-269,0,0,9997,20095097,377367,163499,20635963,0.77,0.8,1057,1477,4,12733,-424,6482343,0.2,558,164,0,2361,394,0.19,731
135,2814,1622779,18870,16056,-11691,461,0,0,-11332,20048323,377828,163397,20589548,0.77,0.79,1532,702,1,13562,829,6482343,0.21,254,318,0,2297,-64,0.17,347
136,2481,1625260,30548,28067,-18900,-177,0,0,-19011,20029423,377651,163463,20570537,0.77,0.79,627,561,251,13377,-185,6482343,0.21,146,347,1,2095,-202,0.16,313
134.5,4542,1629802,22436,17894,-3887,21,0,0,-5568,20025526,377672,161761,20564959,0.77,0.79,333,673,0,13037,-340,6482343,0.2,0,365,14,1716,-379,0.13,0
134,-2215,1627587,22740,24955,-7842,-123,0,0,-10076,20015778,377549,159650,20552977,0.77,0.79,700,425,6,13306,269,6482343,0.21,0,1634,27,55,-1661,0,0
134.5,1453,1629040,25614,24161,-15946,26,0,0,-15831,19999581,377575,159739,20536895,0.77,0.79,0,203,1,13102,-204,6482343,0.2,0,2,53,0,-55,0,0
136.5,-8786,1620254,25393,34179,-26788,-8,0,0,-23716,19970469,377567,162819,20510855,0.77,0.79,0,161,0,12941,-161,6482343,0.2,0,0,0,0,0,0,0
132.5,4481,1624735,19501,15020,2114,-260,0,0,3608,19972695,377307,164573,20514575,0.77,0.79,0,1602,2,11337,-1604,6482343,0.17,0,0,0,0,0,0,0
133,-14497,1610238,14877,29374,-14173,-390,0,0,-16903,19957301,376917,162233,20496451,0.77,0.79,3475,326,0,14486,3149,6482343,0.22,270,0,0,270,270,0.02,306
130.5,-3540,1606698,17690,21230,-3148,-353,0,0,-2571,19954152,376564,163163,20493879,0.77,0.79,1190,552,0,15124,638,6482343,0.23,144,15,0,399,129,0.03,128
124.5,-9457,1597241,9986,19443,-12078,22,0,0,-10527,19942528,376586,164692,20483806,0.77,0.79,1769,430,13,16450,1326,6482343,0.25,155,123,0,431,32,0.03,99
123.5,-40980,1556261,33408,74388,-70187,-64,0,0,-67565,19907470,376522,167378,20451370,0.77,0.79,7299,1998,21,21730,5280,6482343,0.34,575,233,0,773,342,0.04,2086
123.5,-18812,1537449,28634,47446,-34909,640,0,0,-30909,19872560,377162,170738,20420460,0.77,0.79,2810,735,33,23772,2042,6482343,0.37,189,517,0,445,-328,0.02,1289
124.5,-12382,1525067,18138,30520,-24761,203,0,0,-23494,19846317,377365,171802,20395484,0.77,0.79,1942,1148,3,24563,791,6482343,0.38,235,38,0,642,197,0.03,371
125,-4263,1520804,30813,35076,-14461,-575,0,0,-14682,19831284,376790,172156,20380230,0.76,0.79,1569,756,33,25343,780,6482343,0.39,33,64,0,611,-31,0.02,226
123,-10746,1510058,21909,32655,-15957,394,0,0,-15198,19818573,377184,172521,20368278,0.76,0.79,2504,1251,99,26497,1154,6482343,0.41,89,18,0,682,71,0.03,122
121.5,-9315,1500743,8785,18100,-15050,319,0,0,-15227,19803525,377503,172025,20353053,0.76,0.78,1596,1045,32,27016,519,6482343,0.42,121,64,0,739,57,0.03,92
124,-6458,1494285,17747,24205,-13292,1022,0,0,-11972,19794243,378525,172323,20345091,0.76,0.78,1656,540,4,28135,1119,6482343,0.43,57,118,1,677,-62,0.02,479
124.5,5083,1499368,17444,12361,9060,87,0,0,8870,19805606,378612,172046,20356264,0.76,0.79,408,2294,8,26241,-1894,6482343,0.4,145,10,0,812,135,0.03,242
121,839,1500207,17807,16968,-288,393,0,0,369,19809518,379005,172310,20360833,0.76,0.79,574,1214,11,25590,-651,6482343,0.39,142,8,0,946,134,0.04,52
